,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tuktoyaktuk,20,CA,1578429029,66,69.44,-133.03,-32.8,12.75
1,Ushuaia,75,AR,1578428924,81,-54.81,-68.31,53.6,10.29
2,Busselton,26,AU,1578429032,55,-33.64,115.35,64.0,4.45
3,East London,100,ZA,1578428911,90,-33.02,27.91,73.2,16.6
4,Barrow,0,AR,1578429034,25,-38.31,-60.23,82.62,3.76
5,Mataura,92,NZ,1578429035,80,-46.19,168.86,52.0,4.0
6,Karabuk,100,TR,1578429036,99,41.2,32.63,33.78,3.06
7,Yellowknife,40,CA,1578429007,66,62.45,-114.38,-29.2,3.36
8,Torbay,90,CA,1578429038,86,47.66,-52.73,30.0,3.36
9,Lasa,75,CY,1578429039,71,34.92,32.53,57.2,12.75
10,New Norfolk,20,AU,1578428940,82,-42.78,147.06,57.99,1.12
11,Ilulissat,20,GL,1578429042,40,69.22,-51.1,-2.2,12.75
12,Kapaa,40,US,1578429043,74,22.08,-159.32,80.6,21.92
13,Port-Gentil,20,GA,1578429044,94,-0.72,8.78,80.6,10.31
14,Jamestown,0,AU,1578428832,30,-33.21,138.6,71.2,13.94
15,La Ronge,20,CA,1578429046,63,55.1,-105.3,-11.2,6.93
16,Punta Arenas,85,CL,1578428887,38,-53.16,-70.91,60.8,18.34
17,Steamboat Springs,1,US,1578428992,63,40.48,-106.83,35.6,1.66
18,Perigueux,90,FR,1578429050,100,45.18,0.72,48.2,2.24
19,Albany,90,US,1578428871,44,42.65,-73.75,37.99,3.24
20,Trincomalee,72,LK,1578429052,92,8.58,81.23,73.04,3.6
21,Saint-Philippe,75,CA,1578429054,63,45.36,-73.48,32.0,4.7
22,Paamiut,100,GL,1578429055,81,61.99,-49.67,13.57,9.89
23,Otacilio Costa,78,BR,1578429056,96,-27.48,-50.12,71.71,3.69
24,Ust-Kuyga,100,RU,1578429057,97,70.0,135.55,-14.01,6.67
25,Atuona,1,PF,1578429050,74,-9.8,-139.03,81.09,12.12
